feature,fdr,mean_churn,mean_nochurn,var_churn,var_nochurn
International plan,0.20532691194663644,0.672367056693655,-0.11452081562648742,2.3311638144521143,0.6844784982586825
Total day charge,0.12561504293547085,0.4741625554924077,-0.08076166441222775,1.5968667640571812,0.854598304461397
Customer service calls,0.11644548432117927,0.4908847484047612,-0.08360986935076713,2.061996111499304,0.7723264709011003
Number vmail messages,0.03351534903534758,-0.20953050773690374,0.03568825153727767,0.7615138944925587,1.0326562881467258
Total intl charge,0.03014546238602975,0.2089053019259689,-0.035581763453588475,0.9887650993343053,0.9940847363215204
Total eve charge,0.021448787630801786,0.17662347504652975,-0.03008336625024267,0.996896087536633,0.9951847225474489
Total intl calls,0.01959494206469283,-0.16932632553889065,0.02884048038151423,1.01076119941533,0.9933316342886419
Total night charge,0.004792843744942739,0.08150000937092178,-0.013881476574152092,0.877855649188028,1.0203134431571712
State|PC2,0.0021446854918215474,0.06143941788465934,-0.010464659411434497,1.4946461310605201,0.9160552755179479
State|PC1,0.0021125025767047374,-0.05086101810404112,0.008662895094103585,0.6106701106084612,1.0665331654921957
Total day calls,0.001251473467129912,0.044318226051597576,-0.007548495043028649,1.1796358583356379,0.969955665388203
Account length,0.0012467684453339322,0.04295577862204854,-0.0073164363939223825,1.0320064233011597,0.9950705468214728
State|PC0,0.0010043545316496588,0.04157223679821214,-0.007080784845349552,1.429280552233752,0.9275729695608663
Total night calls,0.0005874778840423123,0.02971123407980714,-0.005060561379703791,1.0691290756770182,0.9889530961294403
Total eve calls,9.739394413331855e-06,-0.003729464940908046,0.0006352205430523032,0.9459633134253177,1.0100596758292069
Area code,4.168507770596016e-06,0.0024687651523963537,-0.00042049204527261976,1.0020622029533899,1.000526640269132
